id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
0d44b2a74d26f4a55c399b52a6997ade,Mobica,1000.0,Kraków,C/C++,mid,9000.0,14000.0,11300.0,17600.0
bad794cc6890fbbdb738ac46ca29e6f6,Reply Polska,10000.0,Katowice,Java,junior,5000.0,9000.0,,
dd8c711b161eb2df0e4196e4e12ec149,Reply Polska,10000.0,Katowice,C#,senior,13000.0,22000.0,20160.0,33600.0
b4e909d1e57a7ed8b6ced43f69d9899b,Sii Poland,10000.0,Katowice,C#,mid,9000.0,13100.0,15750.0,18900.0
5444174e663213ea41d8b65ab200824c,Sii Poland,10000.0,Kraków,C#,mid,9000.0,13100.0,15750.0,18900.0
9083f0a6b030d66e799259b123813070,Sii Poland,10000.0,Gdańsk,Java,senior,18000.0,18000.0,27300.0,27300.0
e41dd2bb157eb6506b249a47a89f20aa,Sii Poland,10000.0,Wrocław,Java,senior,18000.0,18000.0,27300.0,27300.0
96c56181606b594f7770cc10f7ef613c,Sii Poland,10000.0,Katowice,Java,senior,18000.0,18000.0,27300.0,27300.0
3e4bd1323e6e33343ae7ae9a28ccf2ac,Sii Poland,10000.0,Kraków,Java,senior,18000.0,18000.0,27300.0,27300.0
6036e863e18e7afb689a0279e6340325,Sii Poland,10000.0,Poznań,Java,senior,18000.0,18000.0,27300.0,27300.0
e145412ad7e4888c7530081de916f555,Sii Poland,10000.0,Warszawa,Java,senior,18000.0,18000.0,27300.0,27300.0
60832eaf88e58b9c5b379c637dda08af,Sii Poland,10000.0,Łódź,Java,senior,18000.0,18000.0,27300.0,27300.0
a092aa1c8e1b47099e771dc4e2f0ad0e,Sollers Consulting,1000.0,Wrocław,Java,junior,8200.0,15000.0,10200.0,17200.0
cc05ffebd0d7f0e93f1179ff979099e4,Sollers Consulting,1000.0,Poznań,Java,junior,8200.0,15000.0,10200.0,17200.0
1fb0f92aee927e18f4683e135967cf76,Sollers Consulting,1000.0,Warszawa,Java,junior,8200.0,15000.0,10200.0,17200.0
97b50f9e5cf2fefde09e331c50c94988,Sollers Consulting,1000.0,Kraków,Java,junior,8200.0,15000.0,10200.0,17200.0
09b45674a59c5e616397f98c96db5a73,Sollers Consulting,1000.0,Gdańsk,Java,junior,8200.0,15000.0,10200.0,17200.0
2c2685f60c360a15386ff1868c62ada9,Sollers Consulting,1000.0,Łódź,Java,junior,8200.0,15000.0,10200.0,17200.0
a0e0ebed6b0e5571b17320fcc5e2bdc3,Sollers Consulting,1000.0,Warszawa,Java,senior,13100.0,21000.0,15400.0,23000.0
37868bcb7cc0dfd27a8b864cc5070ca2,Sollers Consulting,1000.0,Wrocław,Java,senior,13100.0,21000.0,15400.0,23000.0
461072e7c791a52637480c9768715860,Sollers Consulting,1000.0,Poznań,Java,senior,13100.0,21000.0,15400.0,23000.0
82b667761a5faae008ee37235bcd484c,Sollers Consulting,1000.0,Gdańsk,Java,senior,13100.0,21000.0,15400.0,23000.0
9cc411a9aa07c9471529064edb215feb,Sollers Consulting,1000.0,Kraków,Java,senior,13100.0,21000.0,15400.0,23000.0
faa5337fe4236fd05c9ef7e1169271e0,Sollers Consulting,1000.0,Łódź,Java,senior,13100.0,21000.0,15400.0,23000.0
cf40b6ecfdb2c336db26b9536b9144a6,Sopra Steria,1000.0,Katowice,JavaScript,senior,16000.0,18000.0,21840.0,25200.0
bde9c0a1558fe29e58783afa2472e3c0,Sopra Steria,1000.0,Katowice,PHP,senior,12000.0,16000.0,16800.0,23520.0
b3d9032e496fa9b4f59c08b296900cf0,Xebia,1000.0,Wrocław,JavaScript,senior,12000.0,18000.0,16000.0,23000.0
a35d781917c7f07dbb7e989af1dd92c8,Xebia,1000.0,Gdańsk,JavaScript,senior,12000.0,18000.0,16000.0,23000.0
7bf98e75e52c75ccbfba697b4cd999aa,Xebia,1000.0,Wrocław,JavaScript,senior,12000.0,17000.0,16000.0,21500.0
a0e6771b626f54d9ebd56857d38129e7,Xebia,1000.0,Gdańsk,JavaScript,senior,12000.0,17000.0,16000.0,21500.0
d98f24c87a69b31af19bbaebc2a9276b,Xebia,1000.0,Wrocław,Python,senior,14300.0,22000.0,19000.0,26500.0
c875a09ea59f281b2087c4fb7784041b,Xebia,1000.0,Gdańsk,Python,senior,14300.0,22000.0,19000.0,26500.0
42e328cbd2f5533ea7f4d47d1cc7467b,Avanade Poland,100.0,Warszawa,Python,expert,,,30240.0,40320.0
c704b38b3387d35e215e05ecbfaa7753,Avanade Poland,100.0,Warszawa,C#,mid,13000.0,26000.0,15120.0,26880.0
fb1d6fe93f0b7b40f8782f155f8ff09b,Avanade Poland,100.0,Warszawa,C#,expert,20000.0,27000.0,25200.0,36960.0
